Store ID,Name,Brand,Store Number,Phone Number,Ownership Type,Street Combined,Street 1,Street 2,Street 3,City,Country Subdivision,Country,Postal Code,Coordinates,Latitude,Longitude,Timezone,Current Timezone Offset,Olson Timezone
1006308,Koramangala,Starbucks,21606-213485,,JV,"Real Square Building, Opp Raheja Arcade, No.115,Koramangala,IndustLayout,7thBlock","Real Square Building, Opp Raheja Arcade","No.115,Koramangala,IndustLayout,7thBlock",,Bengaluru,KA,IN,560095,"(12.9350891113281, 77.6134262084961)",12.93508911,77.61342621,India Standard Time,330,GMT+05:30 Asia/New_Delhi
1006562,Mahadevapura,Starbucks,21965-216488,,JV,"Upper Ground Flr, Phoenix Mkt City, opp, BBMP office, Whitefield Rd, Mahadevapura","Upper Ground Flr, Phoenix Mkt City, opp","BBMP office, Whitefield Rd, Mahadevapura",,Bengaluru,KA,IN,560048,"(12.996319770813, 77.6967315673828)",12.99631977,77.69673157,India Standard Time,330,GMT+05:30 Asia/New_Delhi
1006687,Church Street,Starbucks,21743-215051,,JV,"Ground Floor, Prestige RR Building, Church Street","Ground Floor, Prestige RR Building",Church Street,,Bengaluru,MH,IN,560001,"(12.9744501113892, 77.607307434082)",12.97445011,77.60730743,India Standard Time,330,GMT+05:30 Asia/New_Delhi
1006696,Malleswaram,Starbucks,21816-215552,,JV,"G16, Orion Mall,  Brigade Gateway Rd, Dr, Rajkumar Rd, Malleswaram","G16, Orion Mall,  Brigade Gateway Rd, Dr","Rajkumar Rd, Malleswaram",,Bengaluru,KA,IN,560055,"(13.0121002197266, 77.5549468994141)",13.01210022,77.5549469,India Standard Time,330,GMT+05:30 Asia/New_Delhi
1006951,Indiranagar,Starbucks,22449-221247,,JV,"Samrat No.2013, 100 Ft Road, HAL 2nd, Stage, Indiranagar","Samrat No.2013, 100 Ft Road, HAL 2nd","Stage, Indiranagar",,Bangalore,KA,IN,560008,"(12.9655895233154, 77.6415863037109)",12.96558952,77.6415863,India Standard Time,330,GMT+05:30 Asia/New_Delhi
1008429,Benninganahall,Starbucks,22445-221246,,JV,"Unit 6, The Bay, RMZ Infinity, #3 Old, Madras Rd, Benniganahalli","Unit 6, The Bay, RMZ Infinity, #3 Old","Madras Rd, Benniganahalli",,Bengaluru,KA,IN,560016,"(12.9942197799683, 77.6607971191406)",12.99421978,77.66079712,India Standard Time,330,GMT+05:30 Asia/New_Delhi
1007130,Sadashiv Nagar,Starbucks,23148-228268,,JV,"403, Ground Floor, 8th Main Road, Sadashiv Nagar","403, Ground Floor, 8th Main Road",Sadashiv Nagar,,Bengaluru,KA,IN,560080,"(13.0089902877808, 77.5805816650391)",13.00899029,77.58058167,US Mountain Standard Time,-420,GMT+05:30 Asia/New_Delhi
1008784,JP Nagar,Starbucks,23293-229025,,JV,"100 Feet ring Road, K.A.S. Officer HBCS, layout, 4th Phase, JP Nagar","100 Feet ring Road, K.A.S. Officer HBCS","layout, 4th Phase, JP Nagar",,Bengaluru,KA,IN,560078,"(12.9063997268677, 77.5937576293945)",12.90639973,77.59375763,Mountain Standard Time (Mexico),-360,GMT+05:30 Asia/New_Delhi
1007131,Mantri Mall,Starbucks,23150-228269,,JV,"Mantri mall, Mantri square No.1,, Sampige Road, Malleswaram","Mantri mall, Mantri square No.1,","Sampige Road, Malleswaram",,Bengaluru,KA,IN,560003,"(12.991720199585, 77.5707168579102)",12.9917202,77.57071686,India Standard Time,330,GMT+05:30 Asia/New_Delhi
1009961,Prestige Shantiniketan,Starbucks,24432-237928,,JV,"Prestige Shantiniketan,  Crecent 4, Tower B,   ITPL Road","Prestige Shantiniketan,  Crecent 4","Tower B,   ITPL Road",,Bengaluru,KA,IN,560048,"(12.9924001693726, 77.7294311523438)",12.99240017,77.72943115,India Standard Time,330,GMT+05:30 Asia/New_Delhi
